Model,Accuracy,Precision,Recall,F1-Score
Neural Network (MLP),0.749822316986496,0.5308988764044944,0.5053475935828877,0.5178082191780822
Logistic Regression,0.7874911158493249,0.6205787781350482,0.516042780748663,0.5635036496350365
Random Forest,0.7846481876332623,0.6254416961130742,0.4732620320855615,0.5388127853881278
